MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2149632	Rpl31	ribosomal protein L31	1		cytosolic large ribosomal subunit			ISO	P62899 	J:164563 
MGI:98038	Rpl32	ribosomal protein L32	6		cytosolic large ribosomal subunit			IBA	PTN000601894 	J:265628 
MGI:98038	Rpl32	ribosomal protein L32	6		cytosolic large ribosomal subunit			IDA		J:31514 
MGI:98038	Rpl32	ribosomal protein L32	6		cytosolic large ribosomal subunit			ISO	RGD:621203 	J:155856 
MGI:3644747	Rpl32l	ribosomal protein L32-like	10		cytosolic large ribosomal subunit			ISO	P62910 	J:164563 
MGI:1915686	Rpl34	ribosomal protein L34	3		cytosolic large ribosomal subunit			ISO	RGD:1309402 	J:155856 
MGI:1913739	Rpl35	ribosomal protein L35	2		cytosolic large ribosomal subunit			IBA	PTN000356124 	J:265628 
MGI:1913739	Rpl35	ribosomal protein L35	2		cytosolic large ribosomal subunit			ISO	RGD:1303007 	J:155856 
MGI:1928894	Rpl35a	ribosomal protein L35A	16		cytosolic large ribosomal subunit			IBA	PTN000096770 	J:265628 
MGI:1928894	Rpl35a	ribosomal protein L35A	16		cytosolic large ribosomal subunit			ISO	RGD:2323795 	J:155856 
MGI:1860603	Rpl36	ribosomal protein L36	17		cytosolic large ribosomal subunit			IBA	PTN000012121 	J:265628 
MGI:1201789	Rpl36a	ribosomal protein L36A	X		cytosolic large ribosomal subunit			IBA	PTN000042522 	J:265628 
MGI:1201789	Rpl36a	ribosomal protein L36A	X		cytosolic large ribosomal subunit			ISO	RGD:1306640 	J:155856 
MGI:1914531	Rpl37	ribosomal protein L37	15		cytosolic large ribosomal subunit			IBA	PTN000080456 	J:265628 
MGI:1914531	Rpl37	ribosomal protein L37	15		cytosolic large ribosomal subunit			ISO	RGD:621204 	J:155856 
MGI:98068	Rpl37a	ribosomal protein L37a	1		cytosolic large ribosomal subunit			ISO	RGD:2319947 	J:155856 
MGI:1914921	Rpl38	ribosomal protein L38	11		cytosolic large ribosomal subunit			IBA	PTN000103359 	J:265628 
MGI:1914921	Rpl38	ribosomal protein L38	11		cytosolic large ribosomal subunit			ISO	P63173 	J:164563 
MGI:1914498	Rpl39	ribosomal protein L39	X		cytosolic large ribosomal subunit			IBA	PTN000463054 	J:265628 
MGI:1914498	Rpl39	ribosomal protein L39	X		cytosolic large ribosomal subunit			ISO	RGD:3593 	J:155856 
MGI:1914498	Rpl39	ribosomal protein L39	X		cytosolic large ribosomal subunit			ISO	P62891 	J:164563 
MGI:1915422	Rpl39l	ribosomal protein L39-like	16		cytosolic large ribosomal subunit			IBA	PTN000463054 	J:265628 
MGI:1927636	Rplp0	ribosomal protein, large, P0	5		cytosolic large ribosomal subunit			IBA	PTN000474664 	J:265628 
MGI:1927636	Rplp0	ribosomal protein, large, P0	5		cytosolic large ribosomal subunit			ISO	P05388 	J:164563 
MGI:1927099	Rplp1	ribosomal protein, large, P1	9		cytosolic large ribosomal subunit			IBA	PTN000474938 	J:265628 
MGI:1914436	Rplp2	ribosomal protein, large P2	7		cytosolic large ribosomal subunit			ISO	P05387 	J:164563 
MGI:105110	Rps2	ribosomal protein S2	17		cytosolic small ribosomal subunit			IBA	PTN000346706 	J:265628 
MGI:105110	Rps2	ribosomal protein S2	17		cytosolic small ribosomal subunit			ISO	RGD:619887 	J:155856 
MGI:105110	Rps2	ribosomal protein S2	17		cytosolic small ribosomal subunit			ISO	P15880 	J:164563 
MGI:105110	Rps2	ribosomal protein S2	17		small ribosomal subunit			IEA	IPR005711 	J:72247 
MGI:1350917	Rps3	ribosomal protein S3	7		cytosolic small ribosomal subunit			IBA	PTN000205057 	J:265628 
MGI:1350917	Rps3	ribosomal protein S3	7		cytosolic small ribosomal subunit			ISO	P23396 	J:164563 
MGI:1350917	Rps3	ribosomal protein S3	7		cytosolic small ribosomal subunit			ISO	RGD:619888 	J:155856 
MGI:1350917	Rps3	ribosomal protein S3	7		small ribosomal subunit			IEA	IPR005703 	J:72247 
MGI:1202063	Rps3a1	ribosomal protein S3A1	3		cytosolic small ribosomal subunit			ISO	RGD:62078 	J:155856 
MGI:1202063	Rps3a1	ribosomal protein S3A1	3		small ribosomal subunit			ISO	RGD:62078 	J:155856 
MGI:1913434	Rps4l	ribosomal protein S4-like	6		cytosolic small ribosomal subunit	is a part of testis		IDA		J:197929 
MGI:98158	Rps4x	ribosomal protein S4, X-linked	X		cytosolic small ribosomal subunit			IBA	PTN000171891 	J:265628 
MGI:98158	Rps4x	ribosomal protein S4, X-linked	X		small ribosomal subunit			ISA	P62701 	J:17377 
MGI:1097682	Rps5	ribosomal protein S5	7		cytosolic small ribosomal subunit			IBA	PTN000128891 	J:265628 
MGI:1097682	Rps5	ribosomal protein S5	7		cytosolic small ribosomal subunit			ISO	RGD:3601 	J:155856 
MGI:1097682	Rps5	ribosomal protein S5	7		cytosolic small ribosomal subunit			ISO	P46782 	J:164563 
MGI:1097682	Rps5	ribosomal protein S5	7		small ribosomal subunit			IEA	IPR005716 	J:72247 
MGI:98159	Rps6	ribosomal protein S6	4		cytosolic small ribosomal subunit	is a part of testis		IDA		J:197929 
MGI:98159	Rps6	ribosomal protein S6	4		cytosolic small ribosomal subunit			ISO	RGD:3602 	J:155856 
MGI:98159	Rps6	ribosomal protein S6	4		cytosolic small ribosomal subunit			ISO	P62753 	J:164563 
MGI:98159	Rps6	ribosomal protein S6	4		small ribosomal subunit			ISO	P62753 	J:164563 
MGI:1333818	Rps7	ribosomal protein S7	12		cytosolic small ribosomal subunit			IBA	PTN000138848 	J:265628 
MGI:1333818	Rps7	ribosomal protein S7	12		cytosolic small ribosomal subunit			ISO	RGD:61907 	J:155856 
MGI:1333818	Rps7	ribosomal protein S7	12		cytosolic small ribosomal subunit			ISO	P62081 	J:164563 
MGI:98166	Rps8	ribosomal protein S8	4		cytosolic small ribosomal subunit			IBA	PTN000044490 	J:265628 
MGI:98166	Rps8	ribosomal protein S8	4		cytosolic small ribosomal subunit			ISO	RGD:61910 	J:155856 
MGI:98166	Rps8	ribosomal protein S8	4		cytosolic small ribosomal subunit			ISO	P62241 	J:164563 
MGI:1924096	Rps9	ribosomal protein S9	7		cytosolic small ribosomal subunit			IBA	PTN000216553 	J:265628 
MGI:1924096	Rps9	ribosomal protein S9	7		cytosolic small ribosomal subunit			ISO	RGD:619889 	J:155856 
MGI:1924096	Rps9	ribosomal protein S9	7		cytosolic small ribosomal subunit			ISO	P46781 	J:164563 
MGI:1924096	Rps9	ribosomal protein S9	7		small ribosomal subunit			IBA	PTN000216478 	J:265628 
MGI:1914347	Rps10	ribosomal protein S10	17		cytosolic small ribosomal subunit			IBA	PTN000254423 	J:265628 
MGI:1914347	Rps10	ribosomal protein S10	17		cytosolic small ribosomal subunit			ISO	RGD:621024 	J:155856 
MGI:1914347	Rps10	ribosomal protein S10	17		cytosolic small ribosomal subunit			ISO	P46783 	J:164563 
MGI:1351329	Rps11	ribosomal protein S11	7		cytosolic small ribosomal subunit			IBA	PTN000078534 	J:265628 
MGI:1351329	Rps11	ribosomal protein S11	7		cytosolic small ribosomal subunit			ISO	RGD:621026 	J:155856 
MGI:1351329	Rps11	ribosomal protein S11	7		cytosolic small ribosomal subunit			ISO	P62280 	J:164563 
MGI:98105	Rps12	ribosomal protein S12	10		cytosolic large ribosomal subunit			ISO	RGD:62024 	J:155856 
MGI:98105	Rps12	ribosomal protein S12	10		cytosolic small ribosomal subunit			IBA	PTN000217533 	J:265628 
MGI:98105	Rps12	ribosomal protein S12	10		cytosolic small ribosomal subunit			ISO	RGD:62024 	J:155856 
MGI:98105	Rps12	ribosomal protein S12	10		cytosolic small ribosomal subunit			ISO	P25398 	J:164563 
MGI:1915302	Rps13	ribosomal protein S13	7		cytosolic small ribosomal subunit			IBA	PTN000223267 	J:265628 
MGI:1915302	Rps13	ribosomal protein S13	7		cytosolic small ribosomal subunit			ISO	P62277 	J:164563 
MGI:98107	Rps14	ribosomal protein S14	18		cytosolic small ribosomal subunit			IBA	PTN000204886 	J:265628 
MGI:98107	Rps14	ribosomal protein S14	18		cytosolic small ribosomal subunit			ISO	RGD:62025 	J:155856 
MGI:98107	Rps14	ribosomal protein S14	18		cytosolic small ribosomal subunit			ISO	P62263 	J:164563 
MGI:98117	Rps15	ribosomal protein S15	10		cytosolic small ribosomal subunit			IBA	PTN000222938 	J:265628 
